Core_ASR9K01_Chco 10.5.192.241, No Active bgp ipv6 unicast summary, 2
Core_ASR9K01_Chco 10.5.192.241, No Active bgp l2vpn evpn summary, 2
Core_ASR9K01_Chco 10.5.192.241, No Active bgp neighbor, 2
Core_ASR9K01_Chco 10.5.192.241, No Active bgp summary, 2
Core_ASR9K10_Gys 10.5.44.241, # BGP neighbors, 23
Core_ASR9K10_Leon_2 189.196.41.233, # Ospf neighbors, 5
Core_ASR9K10_Leon_2 189.196.41.233, # Mpls neighbors, 3
Core_ASR9K10_Leon_2 189.196.41.233, # LDP neighbors, 3
Core_ASR9K10_Leon_2 189.196.41.233, # VRFs, 21
Core_ASR9K10_Leon_2 189.196.41.233, # BGP neighbors, 14
Core_ASR9K06_Sala 10.5.220.241, # BGP neighbors, 21
Core_ASR9K10_TOLUCA_2 10.5.196.243, # Ospf neighbors, 10
Core_ASR9K10_TOLUCA_2 10.5.196.243, # BGP neighbors, 23
Core_ASR9K10_TOLUCA_2 10.5.196.243, No Active bgp ipv4 unicast summary, 2
Core_ASR9K10_TOLUCA_2 10.5.196.243, No Active bgp ipv6 unicast summary, 2
Core_ASR9K10_TOLUCA_2 10.5.196.243, No Active bgp l2vpn evpn summary, 2
Core_ASR9K10_TOLUCA_2 10.5.196.243, No Active bgp neighbor, 2
Core_ASR9K10_TOLUCA_2 10.5.196.243, No Active bgp summary, 2
Core_ASR9K06_Urua 10.5.132.241, # Ospf neighbors, 5
Core_ASR9K06_Urua 10.5.132.241, # BGP neighbors, 25
Core_ASR9K06_Col 10.5.222.241, # BGP neighbors, 23
Core_ASR9K10_Mzt 10.5.48.241, # Ospf neighbors, 12
Core_ASR9K10_Mzt 10.5.48.241, # Mpls neighbors, 1
Core_ASR9K10_Mzt 10.5.48.241, # LDP neighbors, 1
Core_ASR9K10_Mzt 10.5.48.241, # BGP neighbors, 37
Core_ASR9K10_Mzt 10.5.48.241, No Active bgp ipv4 unicast summary, 2
Core_ASR9K10_Mzt 10.5.48.241, No Active bgp ipv6 unicast summary, 2
Core_ASR9K10_Mzt 10.5.48.241, No Active bgp l2vpn evpn summary, 2
Core_ASR9K10_Mzt 10.5.48.241, No Active bgp neighbor, 2
Core_ASR9K10_Mzt 10.5.48.241, No Active bgp summary, 2
Core_ASR9K10_Tol 10.5.196.241, # Ospf neighbors, 12
Core_ASR9K10_Tol 10.5.196.241, # VRFs, 1
Core_ASR9K10_Tol 10.5.196.241, # BGP neighbors, 62
Core_ASR9K10_Tol 10.5.196.241, No Active bgp ipv4 unicast summary, 6
Core_ASR9K10_Tol 10.5.196.241, No Active bgp ipv6 unicast summary, 6
Core_ASR9K10_Tol 10.5.196.241, No Active bgp l2vpn evpn summary, 6
Core_ASR9K10_Tol 10.5.196.241, No Active bgp neighbor, 6
Core_ASR9K10_Tol 10.5.196.241, No Active bgp summary, 6
CORE_ASR9910_ZRA 10.5.88.241, # Ospf neighbors, 8
CORE_ASR9910_ZRA 10.5.88.241, # VRFs, 1
CORE_ASR9910_ZRA 10.5.88.241, # BGP neighbors, 41
CORE_ASR9910_ZRA 10.5.88.241, No Active bgp ipv4 unicast summary, 6
CORE_ASR9910_ZRA 10.5.88.241, No Active bgp ipv6 unicast summary, 6
CORE_ASR9910_ZRA 10.5.88.241, No Active bgp l2vpn evpn summary, 6
CORE_ASR9910_ZRA 10.5.88.241, No Active bgp neighbor, 6
CORE_ASR9910_ZRA 10.5.88.241, No Active bgp summary, 6
Core_ASR9K06_Zih 10.5.208.241, # BGP neighbors, 12
Core_ASR9K01_Chgo 10.5.244.241, # BGP neighbors, 13
Core_ASR9K01_Chgo 10.5.244.241, No Active bgp ipv4 unicast summary, 2
Core_ASR9K01_Chgo 10.5.244.241, No Active bgp ipv6 unicast summary, 2
Core_ASR9K01_Chgo 10.5.244.241, No Active bgp l2vpn evpn summary, 2
Core_ASR9K01_Chgo 10.5.244.241, No Active bgp neighbor, 2
Core_ASR9K01_Chgo 10.5.244.241, No Active bgp summary, 2
Core_ASR9K10_Xal 10.5.116.241, # Ospf neighbors, 9
Core_ASR9K10_Xal 10.5.116.241, # Mpls neighbors, 1
Core_ASR9K10_Xal 10.5.116.241, # LDP neighbors, 1
Core_ASR9K10_Xal 10.5.116.241, # BGP neighbors, 40
